date,index_price,correlation,high_threshold,low_threshold,market_state,position_size,strategy_cumulative,optimized_position,optimized_state,optimized_cumulative,ma20,price_trend
2025-03-06,566.0626831054688,0.5469382882451663,0.5814514587908914,0.4314514587908914,過渡市場,0.5,1.8810434357060275,0.5,transition,1.901202548961747,590.8811798095703,downward
2025-03-07,569.2354125976562,0.5496563420255761,0.5814514587908914,0.4314514587908914,過渡市場,0.5,1.886314973790652,0.5,transition,1.9065305820380674,589.3788238525391,downward
2025-03-10,554.073486328125,0.5589470314502835,0.5814514587908914,0.4314514587908914,過渡市場,0.5,1.861193409038371,0.5,transition,1.8811397898669033,587.3926513671875,downward
2025-03-11,549.467529296875,0.5581807389262478,0.5814514587908914,0.4314514587908914,過渡市場,0.5,1.8534574524546268,0.5,transition,1.8733209271567226,584.9745513916016,downward
2025-03-12,552.3832397460938,0.5618718012656031,0.5814514587908914,0.4314514587908914,過渡市場,0.5,1.858375072671621,0.5,transition,1.8782912494331276,582.6795013427734,downward
2025-03-13,545.0197143554688,0.5641797017268538,0.5814514587908914,0.4314514587908914,過渡市場,0.5,1.8459885708298815,0.5,transition,1.8657720016437243,580.112646484375,downward
2025-03-14,556.2775268554688,0.5877664109189347,0.5819261116303364,0.43192611163033634,危機市場,0.0,1.8459885708298815,0.0,crisis,1.8850414985160477,577.7938720703125,downward
2025-03-17,560.5671997070312,0.603888414419318,0.5821340317749959,0.4321340317749959,危機市場,0.0,1.8459885708298815,0.0,crisis,1.8850414985160477,575.6910675048828,downward
2025-03-18,554.5083618164062,0.6025612244340185,0.5839518090281018,0.4339518090281018,危機市場,0.0,1.8459885708298815,0.0,crisis,1.8850414985160477,573.1968627929688,downward
2025-03-19,560.5474243164062,0.5684387710122777,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.8560407549998457,0.5,transition,1.8850414985160477,570.9334442138672,downward
2025-03-20,558.926513671875,0.5688537358358924,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.8533572387744952,0.5,transition,1.8823160521953783,568.7149993896485,downward
2025-03-21,559.11083984375,0.5603551645077677,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.85366284446378,0.5,transition,1.8826264329911295,567.0217132568359,downward
2025-03-24,569.1236572265625,0.570906492309827,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.87026097333936,0.5,transition,1.8994839085847557,565.9639831542969,upward
2025-03-25,570.4917602539062,0.5636251179314246,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.872508911609944,0.5,transition,1.9017669710200702,565.121435546875,upward
2025-03-26,563.6810302734375,0.5648322810808646,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.8613315787617704,0.5,transition,1.8904149917034652,563.9235229492188,downward
2025-03-27,562.18408203125,0.562491045066818,0.5839518090281018,0.4339518090281018,過渡市場,0.5,1.858860041770714,0.5,transition,1.8879048368048137,563.1197570800781,downward
2025-03-28,550.8626708984375,0.5663608892263845,0.5821340317749959,0.4321340317749959,過渡市場,0.5,1.840142935182419,0.5,transition,1.8688952743498735,561.2987182617187,downward
2025-03-31,554.5604858398438,0.5683848301764483,0.5821340317749959,0.4321340317749959,過渡市場,0.5,1.8463191642132797,0.5,transition,1.8751680073144643,560.1770294189453,downward
2025-04-01,556.1267700195312,0.5627157101822712,0.5821340317749959,0.4321340317749959,過渡市場,0.5,1.848926508742327,0.5,transition,1.8778160917516962,559.4751434326172,downward
2025-04-02,559.646240234375,0.5572875060992312,0.5819261116303364,0.43192611163033634,過渡市場,0.5,1.85477701093693,0.5,transition,1.8837580083794843,558.6428314208985,upward
2025-04-03,532.0663452148438,0.6367710635348363,0.5819261116303364,0.43192611163033634,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,556.9430145263672,downward
2025-04-04,500.9176330566406,0.7361746281323714,0.5819261116303364,0.43192611163033634,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,553.5271255493165,downward
2025-04-07,500.025390625,0.7349129160706145,0.5825578764295329,0.4325578764295329,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,550.8247207641601,downward
2025-04-08,492.1936340332031,0.7376025470507303,0.5892458922704431,0.4392458922704431,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,547.9610260009765,downward
2025-04-09,543.8834838867188,0.8122458309795791,0.6026939434325485,0.45269394343254843,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,547.5360382080078,downward
2025-04-10,520.051025390625,0.8248331433599069,0.6071766793308698,0.4571766793308698,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,546.2876037597656,downward
2025-04-11,529.3301391601562,0.8276114976464867,0.6465852487884142,0.49658524878841415,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,544.940234375,downward
2025-04-14,534.4654541015625,0.8292980170939941,0.7350390872767902,0.5850390872767902,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,543.6351470947266,downward
2025-04-15,532.9684448242188,0.830308740593412,0.7363174200242073,0.5863174200242073,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,542.5581512451172,downward
2025-04-16,521.1216430664062,0.8295521345390009,0.7450668754436153,0.5950668754436153,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,540.5868621826172,downward
2025-04-17,521.8651733398438,0.8310303635274172,0.8135045622176119,0.6635045622176119,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,538.7337951660156,downward
2025-04-21,509.443359375,0.8341696670309643,0.8251109787885649,0.6751109787885649,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,536.2504211425781,downward
2025-04-22,522.697998046875,0.8384109183076589,0.8277801495912375,0.6777801495912374,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,533.9291381835938,downward
2025-04-23,530.79736328125,0.8533322153161426,0.8293234288384947,0.6793234288384947,危機市場,0.0,1.85477701093693,0.0,crisis,1.8373413219281025,531.9444183349609,downward
2025-04-24,541.9701538085938,0.858878185216329,0.829627795144442,0.6796277951444419,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8373413219281025,530.8588745117188,upward
2025-04-25,545.8860473632812,0.8581124603813001,0.8303809028868125,0.6803809028868125,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8406601546118486,530.0439727783203,upward
2025-04-28,546.0941772460938,0.8584413092124322,0.831344293877772,0.681344293877772,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8408356016598761,529.8055480957031,upward
2025-04-29,549.5342407226562,0.8593542627738318,0.8345937921586337,0.6845937921586337,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8437346397669847,529.5542358398437,upward
2025-04-30,549.7523803710938,0.8571727582392407,0.8399030480085072,0.6899030480085072,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8439176090873322,529.2355163574218,upward
2025-05-01,553.6483764648438,0.849320850109583,0.849721986630239,0.699721986630239,危機市場,0.0,1.85477701093693,0.5,transition,1.8471844870758147,528.9356231689453,upward
2025-05-02,561.8668212890625,0.8510305440244627,0.8512607111536307,0.7012607111536306,危機市場,0.0,1.85477701093693,0.5,transition,1.860894437680311,530.4256469726563,upward
2025-05-05,558.6448364257812,0.853045430031334,0.8530741085598149,0.7030741085598149,危機市場,0.0,1.85477701093693,0.5,transition,1.855558855044719,533.3120071411133,upward
2025-05-06,553.9755249023438,0.8496047853978634,0.8530741085598149,0.7030741085598149,危機市場,0.0,1.85477701093693,0.5,transition,1.8478042122203886,536.0095138549805,upward
2025-05-07,556.3052978515625,0.8514578588840063,0.8530741085598149,0.7030741085598149,危機市場,0.0,1.85477701093693,0.5,transition,1.851689730691482,539.2150970458985,upward
2025-05-08,560.1815185546875,0.8492846289795594,0.8530741085598149,0.7030741085598149,危機市場,0.0,1.85477701093693,0.5,transition,1.8581408269668453,540.0299987792969,upward
2025-05-09,559.4677124023438,0.8493228558131479,0.8530741085598149,0.7030741085598149,危機市場,0.0,1.85477701093693,0.5,transition,1.8569569675299686,542.0008331298828,upward
2025-05-12,577.9567260742188,0.8540757395082419,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8876408676010903,544.432162475586,upward
2025-05-13,581.7735595703125,0.8451553727004902,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.8907573686153591,546.7975677490234,upward
2025-05-14,582.51708984375,0.8420428086991195,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.8919656010282666,549.275,upward
2025-05-15,585.3622436523438,0.8426529000532642,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.896586008935044,552.4870300292969,upward
2025-05-16,589.0698852539062,0.8432475963179796,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.902592427408325,555.847265625,upward
2025-05-19,589.7142944335938,0.8418120686717323,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.9036330917302648,559.8608123779297,upward
2025-05-20,587.7315673828125,0.8433716732228974,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.9004329108449083,563.1124908447266,upward
2025-05-21,577.827880859375,0.8469186042299296,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.884421101328156,565.4640167236328,upward
2025-05-22,578.0558471679688,0.847313154871388,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.884792824930059,567.2683013916015,upward
2025-05-23,574.1102294921875,0.8517779570816616,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.8783603392786605,568.6795104980469,upward
2025-05-27,586.0463256835938,0.8521541236321764,0.8534065677353525,0.7034065677353525,危機市場,0.0,1.85477701093693,0.5,transition,1.8978864586021083,570.6771179199219,upward
2025-05-28,582.6558227539062,0.8555562656388875,0.8542237921213065,0.7042237921213065,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8923964577983332,572.3331970214844,upward
