date,from_position,to_position,from_state,to_state,position_change,index_price,correlation,high_threshold,low_threshold,change_type
2026-01-07,0.5,1.0,過渡市場,正常市場,0.5,689.5800170898438,0.46135865149043903,0.8590673484614669,0.47048934707261214,加倉（50% → 100%）
2026-01-22,1.0,0.5,正常市場,過渡市場,-0.5,688.97998046875,0.4582768314969735,0.8581827744403877,0.45670130633386913,減倉（100% → 50%）
2026-01-23,0.5,1.0,過渡市場,正常市場,0.5,689.22998046875,0.4546482410944029,0.8581243079126842,0.45685885885017957,加倉（50% → 100%）
2026-01-26,1.0,0.5,正常市場,過渡市場,-0.5,692.72998046875,0.45777174210974464,0.8580658413849808,0.45505885414229613,減倉（100% → 50%）
2026-01-28,0.5,1.0,過渡市場,正常市場,0.5,695.4199829101562,0.4545853766401384,0.8579489083295739,0.4552883981651855,加倉（50% → 100%）
2026-02-06,1.0,0.5,正常市場,過渡市場,-0.5,690.6199951171875,0.46996789876405237,0.8575010542472259,0.4485567894641893,減倉（100% → 50%）
2026-02-24,0.5,1.0,過渡市場,正常市場,0.5,687.3499755859375,0.4453778918939422,0.8565270879634143,0.44897663345456595,加倉（50% → 100%）
