date,correlation,high_threshold,low_threshold,market_state,position_size,index_price,index_return,strategy_return,index_cumulative,strategy_cumulative
2017-06-01,0.6651692884668989,0.7638212892682501,0.6038875084903862,過渡市場,0.5,211.60267639160156,0.007952284981797016,0.003976142490898508,1.007952284981797,1.0039761424908986
2017-06-02,0.6639808305086337,0.7638212892682501,0.6038875084903862,過渡市場,0.5,212.30703735351562,0.0033286959027424585,0.0016643479513712292,1.0113074516229759,1.005647108126879
2017-06-05,0.6668943338329034,0.7638212892682501,0.6038875084903862,過渡市場,0.5,212.15052795410156,-0.0007371842279229602,-0.0003685921139614801,1.0105619317200585,1.0052764345333953
2017-06-06,0.660942715723307,0.7638212892682501,0.6038875084903862,過渡市場,0.5,211.47230529785156,-0.0031968935585054608,-0.0015984467792527304,1.0073312727900718,1.0036695536543567
2017-06-07,0.6565404792410277,0.7638212892682501,0.6038875084903862,過渡市場,0.5,211.86358642578125,0.0018502712559858906,0.0009251356279929453,1.009195108889371,1.004598084117174
2017-06-08,0.6478281998514864,0.7638212892682501,0.6038875084903862,過渡市場,0.5,211.96788024902344,0.0004922687518023446,0.0002461343759011723,1.009691904105949,1.0048453502396397
2017-06-09,0.5635677994113301,0.7638212892682501,0.6038875084903862,正常市場,1.0,211.6461944580078,-0.0015176157379962621,-0.0015176157379962621,1.0081595797817504,1.0033203811218636
2017-06-12,0.5629358696518407,0.7638212892682501,0.6004247295392223,正常市場,1.0,211.60267639160156,-0.00020561705121933724,-0.00020561705121933724,1.0079522849817972,1.003114081343669
2017-06-13,0.5715386679114957,0.7638212892682501,0.5902777160136237,正常市場,1.0,212.63743591308594,0.00489010601911954,0.00489010601911954,1.012881278517572,1.0080194155507112
2017-06-14,0.5689091170343764,0.7638212892682501,0.5876761689429232,正常市場,1.0,212.3678741455078,-0.001267706066998976,-0.001267706066998976,1.0115972427756457,1.0067415432219649
2017-06-15,0.536248309589225,0.7638212892682501,0.5819899674586368,正常市場,1.0,211.95919799804688,-0.0019243783887054658,-0.0019243783887054658,1.0096505469035741,1.0048041915531765
2017-06-16,0.5334960501100017,0.7638212892682501,0.570945168106892,正常市場,1.0,212.0054931640625,0.00021841546133823168,0.00021841546133823168,1.0098710701935665,1.0050236563242292
2017-06-19,0.5384562578500017,0.7638212892682501,0.5691007807784049,正常市場,1.0,213.7704620361328,0.0083251091550938,0.0083251091550938,1.0182783570854992,1.0133905879665799
2017-06-20,0.5431007464995646,0.7638212892682501,0.5675737876286149,正常市場,1.0,212.32876586914062,-0.006744131781632689,-0.006744131781632689,1.01141095365493,1.0065561482950671
2017-06-21,0.527191580672852,0.7638212892682501,0.5634098169714578,正常市場,1.0,212.27639770507812,-0.00024663716123501976,-0.00024663716123501976,1.0111615021284786,1.006307894144028
2017-06-22,0.5157258566091971,0.7638212892682501,0.5621828142971452,正常市場,1.0,212.18028259277344,-0.0004527828498306395,-0.0004527828498306395,1.0107036655419057,1.0058522551879103
2017-06-23,0.5163371360638103,0.7638212892682501,0.5568579088837847,正常市場,1.0,212.43368530273438,0.0011942801982561223,0.0011942801982561223,1.0119107289159672,1.0070535246186525
2017-06-26,0.5161396728987572,0.7638212892682501,0.5465207047518631,正常市場,1.0,212.57342529296875,0.0006578052347735471,0.0006578052347735471,1.0125763690905718,1.0077159696988438
2017-06-27,0.517759009928713,0.7619061172557612,0.5419396243371739,正常市場,1.0,210.86090087890625,-0.008056154769592193,-0.008056154769592193,1.0044188971451464,0.9995976538831602
2017-06-28,0.5315931990444444,0.7610618467385235,0.5379042707848075,正常市場,1.0,212.7481689453125,0.00895029879195136,0.00895029879195136,1.0134087463868777,1.0085443515571482
2017-06-29,0.5288502738920913,0.758386455187668,0.5355602447194192,正常市場,1.0,210.87840270996094,-0.008788636088483522,-0.008788636088483522,1.0045022657059972,0.9996806222722168
2017-06-30,0.5232082836876296,0.7574697777896369,0.5330203373436123,正常市場,1.0,211.2715606689453,0.001864382288238017,0.001864382288238017,1.0063750419386746,1.001544409118276
2017-07-03,0.5136051653563014,0.755378394060851,0.5309074677563561,正常市場,1.0,211.62979125976562,0.00169559305420026,0.00169559305420026,1.0080814444697062,1.00324262086185
2017-07-05,0.5062712492292183,0.7527102953558356,0.5284356005872815,正常市場,1.0,212.11911010742188,0.0023121453966546426,0.0023121453966546426,1.0104122753409897,1.0055622636694033
2017-07-06,0.522377789047518,0.7519542231511912,0.5270632922694166,正常市場,1.0,210.1793670654297,-0.00914459353053979,-0.00914459353053979,1.0011724657847285,0.9963668054984971
2017-07-07,0.5286711529984461,0.7486038445033611,0.5262631804190729,過渡市場,0.5,211.5424346923828,0.006485258976580687,0.0032426294882903434,1.0076653285055643,0.9995976538831601
2017-07-10,0.5262664621738388,0.7472076834068209,0.5262631804190729,過渡市場,0.5,211.76962280273438,0.001073959986713451,0.0005369799933567255,1.0087475207483778,1.0001344178247018
2017-07-11,0.5140727395164801,0.7470762095262089,0.5259542067551192,正常市場,1.0,211.61231994628906,-0.0007428017973656295,-0.0007428017973656295,1.0079982212768779,0.9993915161815344
2017-07-12,0.5125432114107997,0.7456151183234008,0.5245651512961277,正常市場,1.0,213.20252990722656,0.007514732418892829,0.007514732418892829,1.0155730581884936,1.0069016760073504
2017-07-13,0.5106429661510236,0.7448145358565038,0.5230006600276017,正常市場,1.0,213.56076049804688,0.0016802361162233572,0.0016802361162233572,1.0172794607195255,1.0085935085688638
2017-07-14,0.5111670048935514,0.7444811966999703,0.5216527233282684,正常市場,1.0,214.55685424804688,0.004664217095298786,0.004664217095298786,1.02202427297091,1.013297807653738
2017-07-17,0.501717046736818,0.7437808329614095,0.519047897110068,正常市場,1.0,214.53057861328125,-0.00012246467192909168,-0.00012246467192909168,1.0218991111036169,1.0131737144701571
2017-07-18,0.4990800746355132,0.743453276921098,0.5176411324419379,正常市場,1.0,214.64422607421875,0.0005297494728822041,0.0005297494728822041,1.0224404616190628,1.0137104427113357
2017-07-19,0.48327766781866704,0.743086726406972,0.5170499090021616,正常市場,1.0,215.80630493164062,0.00541397678696494,0.00541397678696494,1.0279759305443221,1.0191986475168788
2017-07-20,0.47464435786491216,0.7424171995528094,0.516287770272547,正常市場,1.0,215.90245056152344,0.00044551816923638,0.00044551816923638,1.0284339124989172,1.0196527190324087
2017-07-21,0.47792033711576415,0.7422117229421574,0.5160362188263672,正常市場,1.0,215.71018981933594,-0.0008904981934547959,-0.0008904981934547959,1.0275180939577493,1.0187447201281592
2017-07-24,0.4785277595259535,0.7416113212622704,0.5154787977645877,正常市場,1.0,215.6577911376953,-0.0002429124080068287,-0.0002429124080068287,1.0272684970632755,1.0184972543950486
2017-07-25,0.47450534890820106,0.7411818125461455,0.5145714008021895,正常市場,1.0,216.1820526123047,0.0024309878713106143,0.0024309878713106143,1.029765774320216,1.0209732088674461
2017-07-26,0.47422674076252386,0.7408398731783861,0.5139558459764355,正常市場,1.0,216.19078063964844,4.037350574796613e-05,4.037350574796613e-05,1.0298073495746245,1.0210144291351628
2017-07-27,0.47542992129186795,0.739598836777336,0.51359072915459,正常市場,1.0,215.9897918701172,-0.000929682426496542,-0.000929682426496542,1.028849955779048,1.0200652099631966
2017-07-28,0.47723242580516645,0.7387994419155051,0.513296368264792,正常市場,1.0,215.73643493652344,-0.0011730042026527952,-0.0011730042026527952,1.02764311045702,1.0188686691849298
2017-07-31,0.47849877747194886,0.7385749877551606,0.5121991597814877,正常市場,1.0,215.6140594482422,-0.0005672453441499429,-0.0005672453441499429,1.0270601846871654,1.0182907206760343
2017-08-01,0.47632748110277917,0.738454916865638,0.5110359952079194,正常市場,1.0,216.0946502685547,0.0022289400864782894,0.0022289400864782894,1.0293494403040404,1.020560429683038
2017-08-02,0.4748684391116599,0.7367214728695743,0.5103374752226636,正常市場,1.0,216.19949340820312,0.0004851723053677738,0.0004851723053677738,1.0298488521450218,1.0210555773394745
2017-08-03,0.47440539740778764,0.7355506943815306,0.5090607869659755,正常市場,1.0,215.78013610839844,-0.0019396775320509427,-0.0019396775320509427,1.0278512774651076,1.0190750587771338
2017-08-04,0.47601549829061696,0.733691431744263,0.5075529177206679,正常市場,1.0,216.17327880859375,0.0018219596450611882,0.0018219596450611882,1.0297239810137737,1.0209317724095142
2017-08-07,0.4742036199560569,0.7330837475885328,0.5051326986061182,正常市場,1.0,216.5751953125,0.0018592330473097872,0.0018592330473097872,1.0316384778688819,1.0228299224998265
2017-08-08,0.47623624211217747,0.7327035924938231,0.5013449028651695,正常市場,1.0,216.0421905517578,-0.0024610609722554144,-0.0024610609722554144,1.0290995526735218,1.0203126756963072
2017-08-09,0.4695840746651257,0.7322195045319296,0.49994137209654627,正常市場,1.0,216.03350830078125,-4.018775663396391e-05,-4.018775663396391e-05,1.0290581954711469,1.0202716716188058
2017-08-10,0.5103350593944398,0.7304296218343236,0.49840986546655697,過渡市場,0.5,212.98411560058594,-0.014115369065569561,-0.0070576845327847805,1.0145326592521227,1.0130709160227833
2017-08-11,0.4346999456765623,0.7290750789801576,0.49840986546655697,正常市場,1.0,213.29869079589844,0.0014769889971627283,0.0014769889971627283,1.0160311128271002,1.0145672106190944
2017-08-14,0.4465267070487729,0.7155018215021842,0.4956542875867071,正常市場,1.0,215.41307067871094,0.00991276540387072,0.00991276540387072,1.026102790891589,1.0246243773644208
2017-08-15,0.4401854097285184,0.7108141890431103,0.49325644708008487,正常市場,1.0,215.38694763183594,-0.00012126955338732709,-0.00012126955338732709,1.025978355864408,1.0245001216237881
2017-08-16,0.4377160377177089,0.7099658474789938,0.4926947803092928,正常市場,1.0,215.76260375976562,0.0017440988512070937,0.0017440988512070937,1.0277677635362346,1.0262869511089738
2017-08-17,0.4871444933688927,0.7072575833961855,0.49246349674968337,正常市場,1.0,212.398681640625,-0.01559084874080442,-0.01559084874080442,1.0117439917942663,1.0102862664895724
2017-08-18,0.486150562683382,0.704710492465358,0.4922633841684657,正常市場,1.0,212.06666564941406,-0.0015631735029914308,-0.0015631735029914308,1.0101624603944828,1.0087070137673597
2017-08-21,0.4909056180630748,0.7021623833667261,0.4909821119568113,正常市場,1.0,212.23263549804688,0.0007826305380176617,0.0007826305380176617,1.0109530443843464,1.0094964586802466
2017-08-22,0.5104167985346536,0.7002956209181256,0.4903250234651949,過渡市場,0.5,214.45201110839844,0.01045727771859096,0.00522863885929548,1.0215248611299286,1.0147747510924234
2017-08-23,0.5091875008684864,0.6978164090308027,0.4903250234651949,過渡市場,0.5,213.68312072753906,-0.0035853726756179785,-0.0017926863378089893,1.0178623138053688,1.0129555782601867
2017-08-24,0.5099861619036471,0.6969238652208253,0.4903250234651949,過渡市場,0.5,213.18505859375,-0.0023308445332194797,-0.0011654222666097399,1.0154898349956654,1.0117750572741957
2017-08-25,0.5038482682964446,0.6960668538737416,0.4903250234651949,過渡市場,0.5,213.68312072753906,0.002336290062138831,0.0011681450310694155,1.0178623138053688,1.0129569572799106
2017-08-28,0.5062446621320708,0.6956182330162143,0.4903250234651949,過渡市場,0.5,213.69186401367188,4.0917064965373665e-05,2.0458532482686833e-05,1.0179039617437886,1.0129776808927249
2017-08-29,0.5051685565189603,0.695191939392751,0.4903250234651949,過渡市場,0.5,213.9364776611328,0.0011447026707824836,0.0005723513353912418,1.0190691591273968,1.0135574600211052
2017-08-30,0.5117954855397354,0.6915329284242424,0.4903250234651949,過渡市場,0.5,214.95001220703125,0.004737549000427302,0.002368774500213651,1.023897049203587,1.0159583490869046
2017-08-31,0.5174157676397687,0.6883049767356264,0.4903250234651949,過渡市場,0.5,216.2432098388672,0.006016271497534884,0.003008135748767442,1.0300570918371208,1.0190144897160518
2017-09-01,0.5224189615469256,0.687558680001065,0.4903250234651949,過渡市場,0.5,216.54896545410156,0.0014139431960069758,0.0007069715980034879,1.0315135340536226,1.019734904018235
2017-09-05,0.5702966647751436,0.6867868421457297,0.4903250234651949,過渡市場,0.5,214.9936981201172,-0.00718205848142932,-0.00359102924071466,1.0241051435276636,1.0160730061601282
2017-09-06,0.5747984480679819,0.684121755417392,0.4903250234651949,過渡市場,0.5,215.7276611328125,0.00341388151891432,0.00170694075945716,1.0276013171505778,1.0178073825889271
2017-09-07,0.5600907443946787,0.6827894793175906,0.4903250234651949,過渡市場,0.5,215.7014923095703,-0.00012130490408495503,-6.0652452042477514e-05,1.0274766640713633,1.0177456500754662
2017-09-08,0.5543209071624589,0.6803777751682598,0.4903250234651949,過渡市場,0.5,215.4480438232422,-0.0011749964435312343,-0.0005874982217656171,1.026269382645268,1.0171477263158373
2017-09-11,0.5718698877132999,0.6782489530492626,0.4903250234651949,過渡市場,0.5,217.7460174560547,0.010666022267056659,0.005333011133528329,1.037215594732561,1.0225721864647226
2017-09-12,0.577773692527449,0.676170686500261,0.4903250234651949,過渡市場,0.5,218.47994995117188,0.003370589752647527,0.0016852948763237635,1.0407116229874527,1.0242955221312426
2017-09-13,0.5738329176642677,0.6753108338841033,0.4903250234651949,過渡市場,0.5,218.58485412597656,0.0004801546999078522,0.0002400773499539261,1.0412113255644788,1.0245414322857658
2017-09-14,0.5658279458528265,0.6735323223098549,0.4903250234651949,過渡市場,0.5,218.51487731933594,-0.00032013566045292145,-0.00016006783022646072,1.0408779966890982,1.0243774361617226
2017-09-15,0.5805341750394054,0.6711730391120794,0.4903250234651949,過渡市場,0.5,218.8091278076172,0.0013465924695426326,0.0006732962347713163,1.0422796351611523,1.025067145632475
2017-09-18,0.5845243571921442,0.669849247871208,0.4903250234651949,過渡市場,0.5,219.2744598388672,0.002126657310471674,0.001063328655235837,1.0444962067668235,1.0261571289019666
2017-09-19,0.5824205048226881,0.6691442044080913,0.4903250234651949,過渡市場,0.5,219.49398803710938,0.0010011571726297114,0.0005005785863148557,1.0455419116360125,1.0266708011868892
2017-09-20,0.5806688549910966,0.6687393467173013,0.4903250234651949,過渡市場,0.5,219.57302856445312,0.0003601033816488258,0.0001800516908244129,1.0459184148140483,1.026855655000563
