date,from_state,to_state,from_position,to_position,index_price,correlation,high_threshold,low_threshold,transition_type
2023-10-16,過渡市場,危機市場,0.5,0.0,423.80242919921875,0.5829722314552571,0.5797382709582446,0.4552858189613185,減倉（出場 100%）
2023-10-17,危機市場,過渡市場,0.0,0.5,423.7829284667969,0.5803870538828384,0.5813850084262425,0.45531060020676395,加倉（進場 50%）
2023-10-18,過渡市場,危機市場,0.5,0.0,418.1360168457031,0.58272832020011,0.5814211249118059,0.4553353814522095,減倉（出場 100%）
2023-10-26,危機市場,過渡市場,0.0,0.5,400.9716491699219,0.596297642838895,0.5969080861715538,0.4554718578688399,加倉（進場 50%）
2023-10-31,過渡市場,危機市場,0.5,0.0,406.463134765625,0.5992235103064355,0.5967929601536937,0.4555278850211125,減倉（出場 100%）
2023-11-17,危機市場,過渡市場,0.0,0.5,438.138427734375,0.6250848369977842,0.6274494535348357,0.45595769491124805,加倉（進場 50%）
2023-12-06,過渡市場,危機市場,0.5,0.0,441.99700927734375,0.6259033477159333,0.6250848369977842,0.4607600183348262,減倉（出場 100%）
2023-12-07,危機市場,過渡市場,0.0,0.5,445.36962890625,0.624475935124063,0.6258214966441183,0.4613533538919751,加倉（進場 50%）
2024-03-20,過渡市場,正常市場,0.5,1.0,509.5016784667969,0.4796779715492815,0.6219331766843246,0.48236431208455466,加倉（進場 100%）
2024-03-27,正常市場,過渡市場,1.0,0.5,512.1349487304688,0.48228726699057795,0.6212450445745503,0.47712176529167594,減倉（出場 50%）
2024-07-05,過渡市場,正常市場,0.5,1.0,544.6928100585938,0.4827242420857982,0.6167776107177381,0.4831708040186378,加倉（進場 100%）
2024-08-05,正常市場,過渡市場,1.0,0.5,508.10101318359375,0.47681223273171763,0.6158705111960019,0.45583153317261754,減倉（出場 50%）
2024-10-10,過渡市場,危機市場,0.5,0.0,567.5327758789062,0.6197183704838946,0.6147772856679078,0.47232629012649446,減倉（出場 100%）
2024-10-29,危機市場,過渡市場,0.0,0.5,573.0886840820312,0.5869356368751255,0.6188417886982849,0.4727947646288574,加倉（進場 50%）
2025-04-03,過渡市場,危機市場,0.5,0.0,532.0663452148438,0.6367713357564629,0.6151590375320295,0.4808195078245574,減倉（出場 100%）
2025-07-02,危機市場,過渡市場,0.0,0.5,616.9116821289062,0.8211520731295365,0.8295014728470458,0.4830407449758645,加倉（進場 50%）
2025-08-21,過渡市場,正常市場,0.5,1.0,631.925537109375,0.48156867591080876,0.8222847559469647,0.48560966292590857,加倉（進場 100%）
2025-08-22,正常市場,過渡市場,1.0,0.5,641.6299438476562,0.4974645251839679,0.8219206804264927,0.4851793721479901,減倉（出場 50%）
2025-09-03,過渡市場,正常市場,0.5,1.0,640.06884765625,0.47414067825120115,0.8211723012575427,0.4855394036366868,加倉（進場 100%）
2025-10-10,正常市場,過渡市場,1.0,0.5,651.0960693359375,0.5222751691964149,0.7973173310736915,0.4758973533220741,減倉（出場 50%）
2025-11-05,過渡市場,正常市場,0.5,1.0,675.583740234375,0.4739827828268988,0.7361748035314816,0.47622913951419976,加倉（進場 100%）
2025-11-10,正常市場,過渡市場,1.0,0.5,679.432373046875,0.47971518046167205,0.7357962906896017,0.4755659286770173,減倉（出場 50%）
2025-11-11,過渡市場,正常市場,0.5,1.0,680.9877319335938,0.4753223934149246,0.7356701197423083,0.47560496804063235,加倉（進場 100%）
2025-11-12,正常市場,過渡市場,1.0,0.5,681.3666381835938,0.47556308209769316,0.7355439487950151,0.47538560200054836,減倉（出場 50%）
2025-11-18,過渡市場,正常市場,0.5,1.0,658.1353149414062,0.46957143799946904,0.7350392650058418,0.4754361688690473,加倉（進場 100%）
2025-11-20,正常市場,過渡市場,1.0,0.5,650.6075439453125,0.4842224116835477,0.7348893415448013,0.47531663937657403,減倉（出場 50%）
2026-01-07,過渡市場,正常市場,0.5,1.0,689.5800170898438,0.46135865149043925,0.6713744910116404,0.4756183065226191,加倉（進場 100%）
2026-02-06,正常市場,過渡市場,1.0,0.5,690.6199951171875,0.4699678987640524,0.6672290978696068,0.46887594303371477,減倉（出場 50%）
2026-02-11,過渡市場,正常市場,0.5,1.0,691.9600219726562,0.46258636286867344,0.666785797822201,0.4691740123047523,加倉（進場 100%）
2026-02-12,正常市場,過渡市場,1.0,0.5,681.27001953125,0.4836157666482525,0.6666380311397325,0.4680968902845479,減倉（出場 50%）
2026-02-19,過渡市場,正常市場,0.5,1.0,684.47998046875,0.4583337398462343,0.6660446198215967,0.46867723018635643,加倉（進場 100%）
