Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-02-24 00:00:00-05:00,81.7460142141437,82.36269177115403,81.65532776259893,81.99087524414062,31500400,0.0,0.0,0.0
2014-02-25 00:00:00-05:00,82.10880794808959,82.27204640997192,81.63722709423566,81.90022277832031,26771700,0.0,0.0,0.0
2014-02-26 00:00:00-05:00,82.11785282744275,82.38084150981739,81.50117515653066,81.82765197753906,42953700,0.0,0.0,0.0
2014-02-27 00:00:00-05:00,81.83949240055983,82.4405131934052,81.71200293093642,82.35855865478516,28742400,0.373,0.0,0.0
2014-02-28 00:00:00-05:00,82.340370225446,82.832118469275,81.53900657679358,82.26751708984375,48609800,0.0,0.0,0.0
2014-03-03 00:00:00-05:00,81.49344024406068,81.87591558483867,80.92884602973245,81.65735626220703,38885700,0.0,0.0,0.0
2014-03-04 00:00:00-05:00,82.5498039418708,82.85031785246622,82.46784244459207,82.69550323486328,33189000,0.0,0.0,0.0
2014-03-05 00:00:00-05:00,82.83210906173855,83.06887825172642,82.65908462124858,82.92317199707031,27203300,0.0,0.0,0.0
2014-03-06 00:00:00-05:00,83.11439931483541,83.17814405901777,82.54980499426485,82.8503189086914,24063900,0.0,0.0,0.0
2014-03-07 00:00:00-05:00,83.11438751764074,83.1963490043308,82.02161864457685,82.44051361083984,31167800,0.0,0.0,0.0
2014-03-10 00:00:00-04:00,82.39499322320864,82.55890926404506,81.98519964728976,82.51337432861328,18131700,0.0,0.0,0.0
2014-03-11 00:00:00-04:00,82.71374193281429,82.92318602474221,81.91237129195537,82.15824890136719,27484300,0.0,0.0,0.0
2014-03-12 00:00:00-04:00,81.78483703544583,82.51335413815687,81.48433015715749,82.46781921386719,27977200,0.0,0.0,0.0
2014-03-13 00:00:00-04:00,82.77745214455734,82.80477032361078,80.92884792028879,81.30220794677734,48542000,0.0,0.0,0.0
2014-03-14 00:00:00-04:00,81.03815549259717,81.39330586835884,80.71032330763903,80.74674987792969,38732300,0.0,0.0,0.0
2014-03-17 00:00:00-04:00,81.26580462369719,81.87594090348229,81.22027662814462,81.45703887939453,28467200,0.0,0.0,0.0
2014-03-18 00:00:00-04:00,81.55718874707993,82.54068490143045,81.52987056740159,82.44051361083984,31250200,0.0,0.0,0.0
2014-03-19 00:00:00-04:00,82.4678398435399,82.55890971490079,81.45702541080456,81.99430847167969,40869400,0.0,0.0,0.0
2014-03-20 00:00:00-04:00,81.73930710008104,82.46781723768069,81.57539110328169,82.2219467163086,31634500,0.0,0.0,0.0
2014-03-21 00:00:00-04:00,82.69291842629835,82.73855748093096,81.07739756001799,81.23255920410156,62754000,0.206,0.0,0.0
2014-03-24 00:00:00-04:00,81.52462635504988,81.58851684973203,79.78132459241309,80.5206298828125,77735300,0.0,0.0,0.0
2014-03-25 00:00:00-04:00,80.94052395789416,81.4607773836513,80.10994014010818,80.78536224365234,41723300,0.0,0.0,0.0
2014-03-26 00:00:00-04:00,81.18691269422014,81.36946193244536,79.73568280892214,79.74481201171875,40930400,0.0,0.0,0.0
2014-03-27 00:00:00-04:00,79.6352877949442,79.99125012886405,78.85947263033795,79.29757690429688,64784500,0.0,0.0,0.0
2014-03-28 00:00:00-04:00,79.55317443076932,80.32898987405204,79.23371486864316,79.45277404785156,39895100,0.0,0.0,0.0
2014-03-31 00:00:00-04:00,80.07345268080248,80.55719633235857,79.97305226668179,80.01868438720703,33924300,0.0,0.0,0.0
2014-04-01 00:00:00-04:00,80.41112179597287,81.47900904788652,80.05515937866832,81.42424774169922,38683800,0.0,0.0,0.0
2014-04-02 00:00:00-04:00,81.7711119966408,81.8532609506519,81.2691169177473,81.63420867919922,34631600,0.0,0.0,0.0
2014-04-03 00:00:00-04:00,81.71630592024134,81.85321612625441,80.52063784571467,80.98612976074219,30319100,0.0,0.0,0.0
2014-04-04 00:00:00-04:00,81.52464510655805,81.60679402635401,78.6221776053941,78.83210754394531,131213200,0.0,0.0,0.0
2014-04-07 00:00:00-04:00,78.33923360305222,79.06940984605463,77.53603068314348,78.08367156982422,83995800,0.0,0.0,0.0
2014-04-08 00:00:00-04:00,78.17494971270435,78.91425522680112,77.90112924490506,78.80472564697266,51495700,0.0,0.0,0.0
2014-04-09 00:00:00-04:00,79.0968052605006,80.20120242073017,78.88687530476726,80.15556335449219,45685200,0.0,0.0,0.0
2014-04-10 00:00:00-04:00,80.21032691532437,80.21032691532437,77.45389854033239,77.6729507446289,73659600,0.0,0.0,0.0
2014-04-11 00:00:00-04:00,76.9792481749886,77.98325157211099,76.58678298243889,76.76932525634766,93657400,0.0,0.0,0.0
2014-04-14 00:00:00-04:00,77.44473905441549,77.78244991680522,76.65979475208144,77.37171936035156,46500700,0.0,0.0,0.0
2014-04-15 00:00:00-04:00,77.6546999912768,78.07455295474898,76.0117910354778,77.6273193359375,84631500,0.0,0.0,0.0
2014-04-16 00:00:00-04:00,78.30274417395913,78.65870666503906,77.66383196066681,78.65870666503906,46970900,0.0,0.0,0.0
2014-04-17 00:00:00-04:00,78.35748076450902,79.06940552200939,78.15668004551297,78.67693328857422,53719500,0.0,0.0,0.0
