,QQQ,GLD,UUP,TLT
2014-02-24 00:00:00-05:00,81.99087524414062,128.99000549316406,17.969467163085938,76.8030776977539
2014-02-25 00:00:00-05:00,81.90022277832031,129.2100067138672,17.94440269470215,77.48880767822266
2014-02-26 00:00:00-05:00,81.82765197753906,128.11000061035156,18.01123809814453,77.90026092529297
2014-02-27 00:00:00-05:00,82.35855865478516,128.1999969482422,17.977821350097656,78.32613372802734
2014-02-28 00:00:00-05:00,82.26751708984375,127.62000274658203,17.86086654663086,78.36946868896484
2014-03-03 00:00:00-05:00,81.65735626220703,130.2899932861328,17.92769432067871,78.892578125
2014-03-04 00:00:00-05:00,82.69550323486328,128.67999267578125,17.94440269470215,77.70587158203125
2014-03-05 00:00:00-05:00,82.92317199707031,128.88999938964844,17.936050415039062,77.87230682373047
2014-03-06 00:00:00-05:00,82.8503189086914,130.1699981689453,17.835803985595703,77.10539245605469
2014-03-07 00:00:00-05:00,82.44051361083984,129.08999633789062,17.852510452270508,76.62052154541016
2014-03-10 00:00:00-04:00,82.51337432861328,129.1300048828125,17.86086654663086,76.7291030883789
2014-03-11 00:00:00-04:00,82.15824890136719,129.86000061035156,17.86086654663086,76.93169403076172
2014-03-12 00:00:00-04:00,82.46781921386719,131.75999450683594,17.810741424560547,77.4671630859375
2014-03-13 00:00:00-04:00,81.30220794677734,132.2100067138672,17.819093704223633,78.50912475585938
2014-03-14 00:00:00-04:00,80.74674987792969,133.10000610351562,17.77732276916504,78.5235824584961
2014-03-17 00:00:00-04:00,81.45703887939453,131.63999938964844,17.7606143951416,77.9375
2014-03-18 00:00:00-04:00,82.44051361083984,130.6199951171875,17.768972396850586,78.2196273803711
2014-03-19 00:00:00-04:00,81.99430847167969,128.08999633789062,17.902637481689453,77.61187744140625
2014-03-20 00:00:00-04:00,82.2219467163086,127.86000061035156,17.96111297607422,77.47438049316406
2014-03-21 00:00:00-04:00,81.23255920410156,128.47000122070312,17.936050415039062,78.31375122070312
2014-03-24 00:00:00-04:00,80.5206298828125,126.18000030517578,17.885927200317383,78.87090301513672
2014-03-25 00:00:00-04:00,80.78536224365234,126.41000366210938,17.8942813873291,78.57421112060547
2014-03-26 00:00:00-04:00,79.74481201171875,125.41000366210938,17.8942813873291,79.18931579589844
2014-03-27 00:00:00-04:00,79.29757690429688,124.58999633789062,17.94440269470215,79.58724212646484
2014-03-28 00:00:00-04:00,79.45277404785156,124.55999755859375,17.94440269470215,79.13862609863281
2014-03-31 00:00:00-04:00,80.01868438720703,123.61000061035156,17.92769432067871,78.94324493408203
2014-04-01 00:00:00-04:00,81.42424774169922,123.38999938964844,17.92769432067871,78.26856231689453
2014-04-02 00:00:00-04:00,81.63420867919922,124.31999969482422,17.96111297607422,77.8188247680664
2014-04-03 00:00:00-04:00,80.98612976074219,123.91999816894531,18.01123809814453,78.15975189208984
2014-04-04 00:00:00-04:00,78.83210754394531,125.56999969482422,17.994531631469727,78.68212127685547
2014-04-07 00:00:00-04:00,78.08367156982422,124.91000366210938,17.9527587890625,79.15361785888672
2014-04-08 00:00:00-04:00,78.80472564697266,126.08999633789062,17.835803985595703,79.3422622680664
2014-04-09 00:00:00-04:00,80.15556335449219,126.31999969482422,17.768972396850586,78.95050048828125
2014-04-10 00:00:00-04:00,77.6729507446289,127.01000213623047,17.7606143951416,79.6832046508789
2014-04-11 00:00:00-04:00,76.76932525634766,126.93000030517578,17.768972396850586,80.3288803100586
2014-04-14 00:00:00-04:00,77.37171936035156,127.8499984741211,17.819093704223633,80.11853790283203
2014-04-15 00:00:00-04:00,77.6273193359375,125.48999786376953,17.835803985595703,80.61903381347656
2014-04-16 00:00:00-04:00,78.65870666503906,125.54000091552734,17.852510452270508,80.72061157226562
2014-04-17 00:00:00-04:00,78.67693328857422,124.75,17.852510452270508,79.8355484008789
2014-04-21 00:00:00-04:00,79.2610855102539,124.23999786376953,17.869218826293945,79.770263671875
2014-04-22 00:00:00-04:00,79.89086151123047,123.77999877929688,17.852510452270508,80.03868865966797
2014-04-23 00:00:00-04:00,79.18806457519531,123.76000213623047,17.852510452270508,80.49574279785156
2014-04-24 00:00:00-04:00,79.94561767578125,124.55999755859375,17.827449798583984,80.64805603027344
2014-04-25 00:00:00-04:00,78.66781616210938,125.43000030517578,17.827449798583984,80.76409912109375
2014-04-28 00:00:00-04:00,78.92337799072266,124.87999725341797,17.810741424560547,80.37239837646484
2014-04-29 00:00:00-04:00,79.55314636230469,124.86000061035156,17.827449798583984,80.2635726928711
2014-04-30 00:00:00-04:00,79.76309204101562,124.22000122070312,17.77732276916504,80.59729766845703
2014-05-01 00:00:00-04:00,80.00041961669922,123.80000305175781,17.768972396850586,81.46194458007812
2014-05-02 00:00:00-04:00,79.85436248779297,125.05999755859375,17.768972396850586,81.96369934082031
2014-05-05 00:00:00-04:00,80.27420806884766,126.22000122070312,17.7606143951416,81.46917724609375
2014-05-06 00:00:00-04:00,79.23370361328125,125.9800033569336,17.67707633972168,81.79647064208984
2014-05-07 00:00:00-04:00,79.0055160522461,124.16999816894531,17.68543243408203,81.50558471679688
2014-05-08 00:00:00-04:00,78.93251037597656,124.16999816894531,17.727201461791992,81.156494140625
2014-05-09 00:00:00-04:00,79.22459411621094,124.0999984741211,17.835803985595703,80.89472961425781
2014-05-12 00:00:00-04:00,80.52978515625,124.94000244140625,17.852510452270508,80.56746673583984
2014-05-13 00:00:00-04:00,80.58454132080078,124.5999984741211,17.8942813873291,81.26563262939453
