strategy,trade_count,total_return,avg_return,win_rate,profit_factor,max_profit,max_loss,sharpe_ratio
原始策略,2043,2148.3006477948225,1.0515421673004515,18.355359765051396,1.6071430270611062,325.3731464378342,-74.47689590459146,0.07211004143656083
延遲進場,612,1517.608422045907,2.479752323604423,31.862745098039213,1.9830659986007018,313.79311490740804,-74.89279588195899,0.12500133407800246
延遲進場+ADX20,463,1516.6156247302772,3.2756276992014626,33.69330453563715,2.2976337929760295,313.79311490740804,-74.89279588195899,0.14797112427823889
延遲進場+ADX25,385,1302.690029800267,3.3836104670136806,35.324675324675326,2.346104670969584,313.79311490740804,-74.89279588195899,0.15164255132036797
延遲進場+ADX30,300,1074.549494088508,3.5818316469616933,35.333333333333336,2.4988483828331574,313.79311490740804,-16.887816335720597,0.15802714527579886
動態風險管理,1220,-274.43224657626627,-0.22494446440677562,16.147540983606557,0.9159781808129828,325.3731464378342,-74.47689590459146,-0.01577736267390033
延遲+動態,216,278.09283881081416,1.2874668463463619,30.09259259259259,1.608927125300086,45.25691699604743,-74.89279588195899,0.1271735981934713
