,qqq_close,qqq_above_20ma,tw0050_close,tw0050_above_120ma,tw_market_score,us_market_score,buy_hold_value,position_size,qqq_daily_return,tw0050_daily_return,portfolio_daily_return,portfolio_value,drawdown
2019-01-02,154.8800048828125,False,18.512500762939453,False,,,131703.68730090876,0.0,,,,100000.0,0.0
2019-01-03,149.82000732421875,False,18.337499618530273,False,,,128848.04307331587,0.0,-0.03267043775226064,-0.00945313367708367,-0.021061785714672154,100000.0,0.0
2019-01-04,156.22999572753906,False,18.049999237060547,False,,,130751.11522250989,0.0,0.04278459544758095,-0.015678276070920982,0.013553159688329985,100000.0,0.0
2019-01-07,158.08999633789062,True,18.487499237060547,False,,,133057.28883081226,0.5,0.011905528139393606,0.024238228171318488,0.018071878155356047,100903.59390776779,0.0
2019-01-08,159.52000427246094,True,18.412500381469727,False,,,133445.27983151533,0.5,0.009045530822291425,-0.004056733397477363,0.002494398712407031,101029.44080512818,0.0
2019-01-09,160.82000732421875,True,18.75,False,,,135163.92428441485,0.5,0.008149467257644982,0.018329917802469176,0.013239692530057079,101698.24017149991,0.0
2019-01-10,161.27999877929688,True,18.700000762939453,False,,,135201.61067039496,0.5,0.0028602874899188446,-0.002666625976562531,9.683075667815677e-05,101703.16393027424,0.0
2019-01-11,160.69000244140625,True,18.875,False,,,135526.56943110365,0.5,-0.0036582114481412686,0.009358247589346114,0.0028500180706024225,101848.0918577936,0.0
2019-01-14,159.27000427246094,True,18.75,False,,,134469.66508442623,0.5,-0.008836879378747331,-0.0066225165562914245,-0.007729697967519378,101454.46436347914,-0.003864848983759646
2019-01-15,162.3800048828125,True,18.912500381469727,False,,,136409.79942425678,0.5,0.019526593375556844,0.008666687011718688,0.014096640193637766,102169.54790356426,0.0
2019-01-16,162.35000610351562,True,18.887500762939453,False,,,136312.18892503463,0.5,-0.00018474429360026967,-0.0013218568685274823,-0.000753300581063876,102131.06571366287,-0.0003766502905319102
2019-01-17,163.6300048828125,True,18.887500762939453,False,,,136885.5109759127,0.5,0.007884192985374794,0.0,0.003942096492687397,102332.37097163501,0.0
2019-01-18,165.25,True,18.987499237060547,False,,,137947.81539191192,0.5,0.009900354878970452,0.0052944259474132505,0.007597390413191851,102721.10045872457,0.0
2019-01-22,161.94000244140625,True,18.512500762939453,False,,,134865.91865999694,0.5,-0.02003024241206508,-0.025016378839082365,-0.022523310625573723,101564.29083200826,-0.011261655312786832
2019-01-23,162.14999389648438,True,18.424999237060547,False,,,134665.35764664717,0.5,0.0012967237983962931,-0.0047266183536952555,-0.0017149472776494812,101477.20212997388,-0.012109472379051361
2019-01-24,163.1999969482422,True,18.512500762939453,False,,,135430.28063161625,0.5,0.006475504725754977,0.004749065373251371,0.005612285049503174,101761.96162216362,-0.009337310759694859
2019-01-25,165.14999389648438,True,18.75,False,,,137103.36111985426,0.5,0.011948510935699375,0.012829127739240942,0.012388819337470158,102392.31690114542,-0.0032007402190094925
2019-01-28,163.11000061035156,True,18.787500381469727,False,,,136315.89514448942,0.5,-0.01235236670618034,0.0020000203450520893,-0.005176173180564125,102127.31671882565,-0.005780543016451773
2019-01-29,161.57000732421875,True,18.625,False,,,135078.98008390632,0.5,-0.009441440012079028,-0.008649388059627228,-0.009045414035853128,101665.4247867794,-0.010277106331910433
2019-01-30,165.67999267578125,True,18.587499618530273,False,,,136793.61264368414,0.5,0.025437798881292828,-0.002013443300387996,0.011712177790452416,102260.7865519017,-0.004481201084949693
2019-02-11,168.39999389648438,True,18.787500381469727,False,,,138685.32693535642,0.5,0.016417197856990917,0.010759960567265692,0.013588579212128304,102955.57595107924,0.0
2019-02-12,170.88999938964844,True,18.912500381469727,False,,,140221.4964215777,0.5,0.014786256433564127,0.006653359811680248,0.010719808122622188,103507.40796075405,0.0
2019-02-13,171.00999450683594,True,18.875,False,,,140148.97932062543,0.5,0.0007021775271582875,-0.0019828357283984133,-0.0006403291006200629,103474.26855803054,-0.0003201645503099888
2019-02-14,171.22000122070312,True,18.8125,False,,,140032.60536146566,0.5,0.0012280376622011424,-0.0033112582781457123,-0.001041610307972285,103420.37862566058,-0.0008408029609481123
2019-02-15,171.94000244140625,True,18.762500762939453,False,,,140186.7522741959,0.5,0.004205123324202198,-0.0026577667540490513,0.0007736782850765733,103460.38567624912,-0.00045428907390625994
2019-02-19,172.27999877929688,True,18.875,False,,,140717.8247491431,0.5,0.00197741266175977,0.005995961758080703,0.003986687209920237,103666.61777440358,0.0
2019-02-20,172.25,True,19.087499618530273,False,,,141419.87496022272,0.5,-0.00017412804451721886,0.011258257935378824,0.005542064945430802,103953.88133859304,0.0
2019-02-21,171.6199951171875,True,19.274999618530273,False,,,141769.0036722399,0.5,-0.0036575029481131782,0.009823182907517936,0.0030828399797023787,104114.11792931096,0.0
2019-02-22,172.88999938964844,True,19.237499237060547,False,,,142211.58519332862,0.5,0.0074000950273522825,-0.001945545121239567,0.002727274953056358,104256.09184235505,0.0
2019-02-25,173.52000427246094,True,19.375,False,,,142956.73511629715,0.5,0.00364396370545772,0.007147538318003521,0.005395751011730621,104537.36179887378,0.0
2019-02-26,173.6999969482422,True,19.424999237060547,False,,,143205.70292121812,0.5,0.0010373021631477908,0.0025806057837700624,0.0018089539734589266,104631.91343687428,0.0
2019-02-27,173.58999633789062,True,19.412500381469727,False,,,143114.34904932487,0.5,-0.0006332792877615789,-0.0006434417545291282,-0.0006383605211453536,104598.51699547928,-0.00031918026057269885
2019-03-04,174.4199981689453,True,19.237499237060547,False,,,142896.88431405846,0.5,0.004781392065007495,-0.009014868820104605,-0.002116738377548555,104487.81314789978,-0.001377211638793522
2019-03-05,174.5500030517578,True,19.1875,False,,,142786.7669822276,0.5,0.0007453553731067153,-0.002599050762493338,-0.0009268476946933113,104439.39100352995,-0.0018399972534238716
2019-03-06,173.55999755859375,True,19.237499237060547,False,,,142511.6829203868,0.5,-0.005671758670038551,0.0026058234298655947,-0.0015329676200864784,104359.33990119498,-0.0026050707353617126
2019-03-07,171.42999267578125,False,19.162500381469727,False,,,141305.11470538864,0.0,-0.012272441304301163,-0.003898576143740007,-0.008085508724020585,104359.33990119498,-0.0026050707353617126
2019-03-08,171.1699981689453,False,19.0,False,,,140641.52169568356,0.0,-0.0015166220494896576,-0.008480124108796616,-0.004998373079143137,104359.33990119498,-0.0026050707353617126
2019-03-11,174.72999572753906,True,19.037500381469727,False,,,142362.33798427583,0.5,0.020798022998633314,0.00197370428788024,0.011385863643256777,104953.45050820262,0.0
2019-03-12,175.69000244140625,True,19.3125,False,,,143718.2575574341,0.5,0.0054942295961830645,0.014445153671431843,0.009969691633807454,105476.62727693804,0.0
2019-03-13,177.00999450683594,True,19.274999618530273,False,,,144183.22902486275,0.5,0.00751318826960512,-0.0019417673252932754,0.0027857104721559223,105623.54094952458,0.0
2019-03-14,176.7100067138672,True,19.262500762939453,False,,,144006.77832089405,0.5,-0.0016947505919343575,-0.0006484490707229229,-0.0011715998313286402,105561.66668814419,-0.0005857999156642556
2019-03-15,178.35000610351562,True,19.399999618530273,False,,,145204.30672358104,0.5,0.009280738652814202,0.007138162239835655,0.008209450446324928,105994.9683239981,0.0
2019-03-18,178.4499969482422,True,19.524999618530273,True,,,145669.96886086286,1.0,0.0005606439097542992,0.006443299095769239,0.0035019715027617693,106366.15968250488,0.0
2019-03-19,179.0500030517578,True,19.600000381469727,True,,,146191.2443771803,1.0,0.0033623206151673912,0.0038412683433945993,0.0036017944792809953,106749.26872923164,0.0
2019-03-20,179.75999450683594,True,19.625,True,,,146593.42922582105,1.0,0.003965325009644971,0.0012754907165160034,0.0026204078630804872,107028.9953523878,0.0
2019-03-21,182.57000732421875,True,19.787500381469727,True,,,148399.19654945983,1.0,0.015632025496506996,0.008280274215017869,0.011956149855762432,108308.65005973267,0.0
2019-03-22,178.55999755859375,True,19.837499618530273,True,,,146771.42757013888,1.0,-0.021964230732070766,0.0025268091520731506,-0.009718710789998808,107256.02961374694,-0.009718710789998775
2019-03-25,178.22000122070312,True,19.537500381469727,True,,,145609.0419800959,1.0,-0.0019041013807085116,-0.015122835177287963,-0.008513468278998237,106342.90880789902,-0.018149439132973545
2019-03-26,179.0500030517578,True,19.662500381469727,True,,,146401.68208221224,1.0,0.004657175543539838,0.006397952530230233,0.005527564036885035,106930.7260462033,-0.012722197283129602
2019-03-27,177.89999389648438,True,19.625,True,,,145760.3195527423,1.0,-0.0064228379540490765,-0.0019072030892401948,-0.004165020521644636,106485.35737782651,-0.016834229592009507
2019-03-28,178.30999755859375,True,19.625,True,,,145943.96358758834,1.0,0.0023046862067233054,0.0,0.0011523431033616527,106608.06504500985,-0.015701285297018655
2019-03-29,179.66000366210938,True,19.787500381469727,True,,,147095.781816096,1.0,0.007571118400537369,0.008280274215017869,0.007925696307777619,107453.0081925164,-0.007900032608146985
2019-04-01,182.0399932861328,True,19.962499618530273,True,,,148751.02187886892,1.0,0.013247186772296526,0.008843928423846181,0.011045557598071354,108639.88658359289,0.0
2019-04-02,182.72999572753906,True,20.037500381469727,True,,,149312.6075000439,1.0,0.0037903892927622085,0.003757082748787388,0.0037737360207747983,109049.86483688628,0.0
2019-04-03,183.77999877929688,True,20.037500381469727,True,,,149782.91256032896,1.0,0.005746199728059009,0.0,0.0028730998640295047,109363.17598872159,0.0
2019-04-08,185.1300048828125,True,20.225000381469727,True,,,151018.9045864396,1.0,0.0073457727308881005,0.0093574545941566,0.00835161366252235,110276.53498348584,0.0
2019-04-09,184.47999572753906,True,20.350000381469727,True,,,151148.6355141661,1.0,-0.003511095652403262,0.00618046959912677,0.001334686973361754,110423.71963819576,0.0
2019-04-10,185.47000122070312,True,20.375,True,,,151676.24096881575,1.0,0.005366465286708921,0.0012284824600317101,0.0032974738733703157,110787.83896870307,0.0
