,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,market_score_bullish,entry_signal,exit_signal,position,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2020-03-23,170.4600067138672,17.700000762939453,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,39056.916359712486,39686.101723097105,78743.01808280959,100000.0,0.0
2020-03-24,183.66000366210938,18.5625,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,42081.38636117949,41619.95658087475,83701.34294205424,100000.0,0.0
2020-03-25,182.3000030517578,19.212499618530273,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,41769.77408853174,43077.35487856176,84847.12896709351,100000.0,0.0
2020-03-26,191.89999389648438,19.299999237060547,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,43969.38704587412,43273.54237076772,87242.92941664184,100000.0,0.0
2020-03-27,185.3000030517578,19.149999618530273,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,42457.1537932376,42937.220344619425,85394.37413785703,100000.0,0.0
2020-03-30,192.0399932861328,18.962499618530273,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,44001.4646255793,42516.816742792405,86518.28136837171,100000.0,0.0
2020-03-31,190.39999389648438,19.037500381469727,188.64250106811522,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,43625.697193521184,42684.979894149845,86310.67708767104,100000.0,0.0
2020-04-01,182.30999755859375,18.975000381469727,186.84700088500978,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,41772.06409558426,42544.84536020751,84316.90945579177,100000.0,0.0
2020-04-06,196.47999572753906,19.262500762939453,184.4809997558594,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,45018.787147935014,43189.465071655584,88208.25221959059,100000.0,0.0
2020-04-07,196.39999389648438,19.625,184.09549942016602,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,45000.456602932914,44002.24365789452,89002.70026082743,100000.0,0.0
2020-04-08,200.57000732421875,19.899999618530273,184.3629997253418,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,45955.91746912476,44618.83475192749,90574.75222105224,100000.0,0.0
2020-04-09,200.86000061035156,19.8125,185.53999938964844,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46022.36263558765,44422.64725972154,90445.0098953092,100000.0,0.0
2020-04-13,203.02999877929688,19.700000762939453,186.07449951171876,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46519.56686911494,44170.40680925196,90689.97367836689,100000.0,0.0
2020-04-14,211.86000061035156,20.237499237060547,188.20249938964844,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48542.75488617581,45375.56037990281,93918.31526607863,100000.0,0.0
2020-04-15,209.42999267578125,20.299999237060547,189.56699905395507,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,47985.975507343195,45515.694913845145,93501.67042118835,100000.0,0.0
2020-04-16,213.25,20.200000762939453,191.3994987487793,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48861.2406761751,45291.48308079068,94152.72375696577,100000.0,0.0
2020-04-17,215.2899932861328,20.8125,193.28099822998047,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,49328.65733704974,46664.79980279897,95993.4571398487,100000.0,0.0
2020-04-20,212.74000549316406,20.75,195.38299865722655,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48744.387385004935,46524.665268856625,95269.05265386155,100000.0,0.0
2020-04-21,204.88999938964844,20.149999618530273,197.10449829101563,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46945.74242588034,45179.37288769685,92125.11531357719,100000.0,0.0
2020-04-22,210.97000122070312,20.149999618530273,198.46999816894532,,,True,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48338.83238029416,45179.37288769685,93518.20526799101,100000.0,0.0
