filter_name,threshold,trades_count,reduction_pct,total_return,day7_relative_avg,day7_market_avg,win_rate,sharpe,max_drawdown,category
Beat Market by -1% (Market + 1%),-0.01,106,77.05627705627705,0.049363824105196,0.011130236171781922,0.01892854939599633,0.6509433962264151,0.32909216070130665,0.025617393366896325,Absolute Return
Beat Market by -0.5% (Market + 0.5%),-0.005,96,79.2207792207792,0.05143483817268557,0.013178540094846666,0.019046377279054505,0.6666666666666666,0.34289892115123716,0.024542905828785207,Absolute Return
Beat Market by 0% (At least match market),0.0,83,82.03463203463204,0.05242677610497428,0.015705679078871666,0.01908354567118245,0.6867469879518072,0.34951184069982855,0.02454578311354911,Absolute Return
Beat Market by +0.5%,0.005,71,84.63203463203463,0.04998347484492189,0.018052254161054455,0.018895913732098674,0.6619718309859155,0.3332231656328126,0.024576327313578443,Relative Return
Beat Market by +1%,0.01,58,87.44588744588745,0.05153479179253575,0.0203298007116105,0.018549051994415613,0.6896551724137931,0.343565278616905,0.024576327313578443,Relative Return
Beat Market by +1.5%,0.015,45,90.25974025974025,0.05423393960008297,0.022335986635568593,0.018575640815629475,0.7111111111111111,0.3615595973338865,0.024576327313578443,Relative Return
Beat Market by +2%,0.02,28,93.93939393939394,0.05407002699340383,0.025256971450391113,0.01809197637719235,0.7142857142857143,0.36046684662269224,0.024576327313578443,Relative Return
Beat Market by +2.5%,0.025,13,97.18614718614718,0.05684629288070831,0.028379667782166437,0.016550136029682735,0.6923076923076923,0.37897528587138873,0.01929625889434853,Relative Return
Beat Market by +3%,0.03,4,99.13419913419914,0.06920585039929861,0.031417099522725436,0.013706057439355136,0.75,0.46137233599532407,0.01929625889434853,Relative Return
