filter_name,run_id,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,trades_count,avg_trade,final_value
Baseline,848c4f9f-d9ae-4f2b-9e83-a9ba69067ee3,7.222261613843696,0.5733310842696306,1.5767515899935522,0.27009071243214083,0.45,4.265042376120311,180,0,822226.1613843697
MA200 Filter (Price > 200MA),1f5096c5-5de8-4247-a808-6df1baa3bf28,7.222261613843696,0.5733310842696306,1.5767515899935522,0.27009071243214083,0.45,4.265042376120311,180,0,822226.1613843697
MA60 Filter (Price > 60MA),5d9732aa-8f6b-4e1a-aa2f-8444bfed3c2a,7.222261613843696,0.5733310842696306,1.5767515899935522,0.27009071243214083,0.45,4.265042376120311,180,0,822226.1613843697
Low Volatility Filter (exclude),83510ab5-cffd-4ca8-9477-37cd10a94fb3,7.222261613843696,0.5733310842696306,1.5767515899935522,0.27009071243214083,0.45,4.265042376120311,180,0,822226.1613843697
High Volatility Filter (exclude),fddab86e-c23e-46b1-8d1e-3297775c0bc8,7.222261613843696,0.5733310842696306,1.5767515899935522,0.27009071243214083,0.45,4.265042376120311,180,0,822226.1613843697
Max 5 Positions,40e91561-f7ad-4286-b825-23b8e6844dbe,7.222261613843696,0.5733310842696306,1.5767515899935522,0.27009071243214083,0.45,4.265042376120311,180,0,822226.1613843697
