filter_name,trades_count,reduction_pct,total_return,win_rate,day_7_return,day_11_return,day_30_return,sharpe,max_drawdown
Baseline,462,0.0,0.03132534313868907,0.6428571428571429,0.01526492728520282,0.022938637882711867,0.05986466488825563,0.20883562092459382,0.3008442804570625
Day 7 Loss Filter (> -3%),376,18.61471861471862,0.03960132962245841,0.675531914893617,0.03185677273795399,0.037276402034087164,0.0663717707909075,0.26400886414972274,0.3008442804570625
ADX Filter (> 25),394,14.71861471861472,0.03251168159385624,0.649746192893401,0.015678775218870688,0.0234974376769398,0.06113283020625826,0.21674454395904164,0.3008442804570625
High ADX Filter (> 40),150,67.53246753246754,0.04200365739713526,0.6733333333333333,0.018270121740826168,0.028752362322459344,0.06713999889638617,0.2800243826475684,0.2219797504446945
ATR Filter (> 1.5%),370,19.913419913419915,0.033970803933896655,0.6486486486486487,0.015144843107552623,0.023497833970139523,0.061569605696836185,0.2264720262259777,0.3041534055220895
ADX > 25 + Day 7 > -3%,317,31.38528138528138,0.040776692974231,0.6813880126182965,0.03326644859766435,0.0386837605916122,0.06818681475910536,0.2718446198282067,0.3008442804570625
ADX > 40 + Day 7 > -3%,124,73.16017316017316,0.04970512711101131,0.7016129032258065,0.034495912347482845,0.043926305790692774,0.07577404971391924,0.33136751407340875,0.2219797504446945
