Date,GLD_sma_20,GLD_sma_50,GLD_sma_200,GLD_returns_1d,GLD_returns_5d,GLD_returns_21d,GLD_volatility_21d,GLD_rsi_14,QQQ_sma_20,QQQ_sma_50,QQQ_sma_200,QQQ_returns_1d,QQQ_returns_5d,QQQ_returns_21d,QQQ_volatility_21d,QQQ_rsi_14,TLT_sma_20,TLT_sma_50,TLT_sma_200,TLT_returns_1d,TLT_returns_5d,TLT_returns_21d,TLT_volatility_21d,TLT_rsi_14,UUP_sma_20,UUP_sma_50,UUP_sma_200,UUP_returns_1d,UUP_returns_5d,UUP_returns_21d,UUP_volatility_21d,UUP_rsi_14
2010-01-05,,,,-0.0009108023746454696,,,,,,,,0.0,,,,,,,,0.006458970486895144,,,,,,,,-0.0004362100350820963,,,,
2010-01-06,,,,0.01649959196299955,,,,,,,,-0.006031693648551939,,,,,,,,-0.013386210308503288,,,,,,,,-0.002618900671622071,,,,
2010-01-07,,,,-0.006187807624317698,,,,,,,,0.0006500488321476983,,,,,,,,0.0016815168612300813,,,,,,,,0.006564293425195045,,,,
2010-01-08,,,,0.0049630306196752905,,,,,,,,0.008230377556329938,,,,,,,,-0.00044804061583814114,,,,,,,,-0.006956375858912955,,,,
2010-01-11,,,,0.01328899785435711,0.02777773531504879,,,,,,,-0.004081218521099772,-0.0012921613135508103,,,,,,,-0.005487056129179324,-0.011244912187913458,,,,,,,-0.005253954460663235,-0.008725993754994388,,,
2010-01-12,,,,-0.020912721685971136,0.007201467069320566,,,,,,,-0.01251131453069787,-0.013787309207630383,,,,,,,0.0171166454829923,-0.0007747085475796611,,,,,,,0.0,-0.008293401384821375,,,
2010-01-13,,,,0.00950315025847348,0.00026902321515720473,,,,,,,0.012451315978714295,0.004551483429890979,,,,,,,-0.011625009282177579,0.0010090052290003815,,,,,,,-0.0008803007975766164,-0.006564693102096286,,,
2010-01-14,,,,0.004393023666376061,0.010918598518360856,,,,,,,0.0008624574915092609,0.004764720249400334,,,,,,,0.014002429704838448,0.013321646024989198,,,,,,,-0.0026431286500300244,-0.015652019400860473,,,
2010-01-15,,,,-0.01044361493969348,-0.004579349229172247,,,,,,,-0.01164000307329316,-0.015037358599842454,,,,,,,0.006186692703968877,0.020047778494086455,,,,,,,0.005742173968508846,-0.003064665154493329,,,
2010-01-19,,,,0.005953418988644765,-0.011785572432769564,,,,,,,0.01613956161395036,0.004960971970262129,,,,,,,-0.002855175952662714,0.02274723408575463,,,,,,,0.0030740861993503454,0.005281704294501255,,,
2010-01-20,,,,-0.02313481240425197,-0.014028377702336225,,,,,,,-0.014381145871372625,0.003058056474423587,,,,,,,0.010130401163379155,0.015722315079401472,,,,,,,0.012259360358859217,0.017605814969615663,,,
2010-01-21,,,,-0.01441159959280014,-0.037385674508855216,,,,,,,-0.00936376165547348,-0.01855462655363327,,,,,,,0.004577405746658103,0.0323730343484252,,,,,,,0.0,0.018502403447704374,,,
2010-01-22,,,,-0.001862760291706178,-0.043381243089415156,,,41.06049054235582,,,,-0.029237214375618326,-0.04807035418946248,,,30.449756565072803,,,,-0.0017350266190371277,0.016350463729206455,,,62.718715233381864,,,,-0.0017303385566080909,0.01943454612471318,,,57.272700855978144
2010-01-25,,,,0.002892648999579084,-0.03048887998204075,,,42.276971183566026,,,,0.0033967705978605878,-0.03358782689229978,,,32.2090644227182,,,,-0.0045656534365516865,0.005489505156272667,,,59.80124958736241,,,,-0.0012997560546137432,0.01229674587851548,,,55.752262454867086
2010-01-26,,,,0.0007442705541653716,-0.03550931854084538,,,42.866668701171875,,,,0.000903155158727742,-0.04807860082630211,,,32.66348986705822,,,,0.00032727836384371933,0.00869859207997381,,,57.19344248239695,,,,0.00433838985205659,0.013572674038803356,,,59.836024156587385
2010-01-27,,,,-0.009576039444736728,-0.022122302259040327,,,32.48943178153954,,,,0.007891542606847768,-0.026567396276251487,,,38.079499075592146,,,,-0.0005454838854748179,-0.001962160438299221,,,66.25722591197135,,,,0.003455601273438136,0.004757492883412429,,,65.32242324702727
2010-01-28,,,,-0.0004693083914030227,-0.008289087891233837,,,34.02061623995199,,,,-0.025727301776154343,-0.0426467631005778,,,31.703936301171666,,,,-0.0005460462860912285,-0.007052259985245168,,,65.09755776220092,,,,0.0017220471770751367,0.006487732687677328,,,61.947018877378866
2010-01-29,,,,-0.004883586176437471,-0.01129046473029871,,,30.03686887114138,,,,-0.017450742425340393,-0.03102310257267127,,,25.06643892596273,,,,0.008741977301407244,0.0033689384363495556,,,68.92306197165561,,,,0.007735351091180176,0.016031346883216724,,,76.52161137835944
2010-02-01,109.41650009155273,,,0.02255567582388429,0.008094483531958074,,,34.43982482984224,39.4356014251709,,,0.010983212307500434,-0.02369690124760626,,,30.17883504628044,57.13093032836914,,,-0.009077412997678724,-0.0011787842908767,,,66.0429355907936,19.202935791015626,,,-0.004264387134186531,0.013015268608427721,,,77.87599533674255
