Date,GLD,QQQ,TLT,UUP
2010-01-04,109.80000305175781,40.34158706665039,56.54684066772461,19.147380828857422
2010-01-05,109.69999694824219,40.34158706665039,56.91207504272461,19.139028549194336
2010-01-06,111.51000213623047,40.09825897216797,56.150238037109375,19.088905334472656
2010-01-07,110.81999969482422,40.124324798583984,56.24465560913086,19.214210510253906
2010-01-08,111.37000274658203,40.45456314086914,56.21945571899414,19.080549240112305
2010-01-11,112.8499984741211,40.289459228515625,55.91097640991211,18.980300903320312
2010-01-12,110.48999786376953,39.78538513183594,56.867984771728516,18.980300903320312
2010-01-13,111.54000091552734,40.280765533447266,56.20689392089844,18.963592529296875
2010-01-14,112.02999877929688,40.31550598144531,56.993927001953125,18.913469314575195
2010-01-15,110.86000061035156,39.84623336791992,57.34653091430664,19.02207374572754
2010-01-19,111.5199966430664,40.48933410644531,57.182796478271484,19.080549240112305
2010-01-20,108.94000244140625,39.90705108642578,57.762081146240234,19.314464569091797
2010-01-21,107.37000274658203,39.53337097167969,58.02648162841797,19.314464569091797
2010-01-22,107.16999816894531,38.377525329589844,57.925804138183594,19.281044006347656
2010-01-25,107.4800033569336,38.50788497924805,57.66133499145508,19.255983352661133
2010-01-26,107.55999755859375,38.54266357421875,57.680206298828125,19.339523315429688
2010-01-27,106.52999877929688,38.846824645996094,57.64874267578125,19.406352996826172
2010-01-28,106.4800033569336,37.8474006652832,57.61726379394531,19.43977165222168
2010-01-29,105.95999908447266,37.18693542480469,58.12095260620117,19.590145111083984
2010-02-01,108.3499984741211,37.595367431640625,57.59336471557617,19.50660514831543
2010-02-02,109.12999725341797,37.93430709838867,57.75764083862305,19.43977165222168
2010-02-03,108.69999694824219,38.142879486083984,57.0878791809082,19.548372268676758
2010-02-04,104.37000274658203,37.03916931152344,57.99142074584961,19.67368507385254
2010-02-05,104.68000030517578,37.35204315185547,58.117774963378906,19.757225036621094
2010-02-08,104.04000091552734,37.08263397216797,58.19364929199219,19.748870849609375
2010-02-09,105.41000366210938,37.46501159667969,57.6123046875,19.623559951782227
2010-02-10,105.12000274658203,37.38680648803711,57.062583923339844,19.682037353515625
2010-02-11,107.12999725341797,37.951690673828125,56.75297164916992,19.67368507385254
2010-02-12,107.04000091552734,38.029903411865234,56.986778259277344,19.740516662597656
2010-02-16,109.62000274658203,38.5165901184082,57.094181060791016,19.57343864440918
2010-02-17,109.25,38.73382568359375,56.44337844848633,19.757225036621094
2010-02-18,109.9800033569336,38.97718811035156,56.21595001220703,19.757225036621094
2010-02-19,109.47000122070312,38.95978927612305,56.519203186035156,19.81570053100586
2010-02-22,109.06999969482422,38.8815803527832,56.28544998168945,19.782285690307617
2010-02-23,107.88999938964844,38.377525329589844,57.16368103027344,19.890886306762695
2010-02-24,107.36000061035156,38.76858901977539,57.30268859863281,19.849119186401367
2010-02-25,108.30999755859375,38.75992965698242,57.62492752075195,19.807348251342773
2010-02-26,109.43000030517578,38.898956298828125,57.92193603515625,19.748870849609375
2010-03-01,109.43000030517578,39.463863372802734,57.89653396606445,19.81570053100586
2010-03-02,111.0199966430664,39.58551788330078,57.82051086425781,19.757225036621094
2010-03-03,111.62999725341797,39.62897491455078,57.6746940612793,19.640270233154297
2010-03-04,110.83000183105469,39.75933074951172,57.97897720336914,19.748870849609375
2010-03-05,110.80999755859375,40.35896301269531,57.21834182739258,19.740516662597656
2010-03-08,109.87999725341797,40.43717956542969,56.9204216003418,19.732160568237305
2010-03-09,109.72000122070312,40.66314697265625,56.93308639526367,19.76557731628418
2010-03-10,108.47000122070312,40.993385314941406,56.787353515625,19.732160568237305
2010-03-11,108.5999984741211,41.14979934692383,56.99646759033203,19.690391540527344
2010-03-12,107.94999694824219,41.15851974487305,57.3514518737793,19.565080642700195
2010-03-15,108.36000061035156,41.05422592163086,57.27542495727539,19.67368507385254
2010-03-16,110.4000015258789,41.314937591552734,57.731746673583984,19.531665802001953
2010-03-17,109.58999633789062,41.42790985107422,57.97897720336914,19.54001808166504
